name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset
렌즈콩(렌틸콩),두류,,359.0,0.0,1.3,63.63,21.01,1.43,3,원재료성식품
로열젤리,기타,,104.0,12.0,12.04,12.82,14.29,1.4,1,원재료성식품
로열젤리제품,벌꿀 및 화분가공 식품류,190.0,125.5,5.5,10.95,15.4,13.3,1.2,2,가공식품
로즈마리,조미료류,,331.0,50.0,,64.06,4.88,15.22,1,원재료성식품
롤빵,빵 및 과자류,,330.0,100.0,18.48,45.65,6.0,21.01,17,음식
롱안,과일류,,173.0,24.0,,44.57,3.11,0.25,2,원재료성식품
루꼴라,채소류,,26.0,13.0,0.97,4.2,3.17,0.43,1,원재료성식품
리소토/리조또,밥류,849.5,176.0,258.0,2.09,17.23,3.71,11.03,5,음식
리치,과일류,,58.5,2.0,13.55,15.43,0.93,0.09,2,원재료성식품
리큐르,주류,430.0,64.5,0.5,4.46,4.61,0.01,0.02,2,가공식품
리크,채소류,,41.0,3.0,2.6,10.0,1.55,0.2,2,원재료성식품
마,감자 및 전분류,,56.0,3.0,1.61,12.28,1.7,0.27,4,원재료성식품
마가린,식용유지류,500.0,730.0,388.0,0.0,0.5,0.0,80.0,79,가공식품
마가목 열매,과일류,,115.0,,,25.5,1.3,0.8,1,원재료성식품
마늘,채소류,,135.0,5.0,0.35,27.69,7.88,0.22,17,원재료성식품
마늘빵,빵 및 과자류,50.0,354.5,433.5,16.09,52.38,6.67,12.62,6,음식
마늘장아찌,장아찌·절임류,100.0,113.0,1127.0,15.03,25.36,2.43,0.16,1,음식
마늘장아찌무침,생채·무침류,40.0,99.0,805.0,11.66,21.85,1.88,0.7,1,음식
마늘종,채소류,,56.0,1.5,4.1,14.11,1.92,0.12,2,원재료성식품
마늘쫑무침,생채·무침류,45.3,71.5,297.0,6.89,13.66,2.35,1.17,4,음식
마늘쫑볶음,볶음류,70.5,73.0,428.0,2.25,6.25,3.5,2.78,15,음식
마늘쫑장아찌,장아찌·절임류,50.0,110.0,1415.0,11.2,21.0,2.0,1.0,3,음식
마늘쫑장아찌무침,생채·무침류,50.0,79.0,706.0,8.32,17.73,1.3,0.58,4,음식
마늘쫑조림,조림류,48.0,138.5,658.0,6.64,20.25,4.8,5.83,2,음식
마들렌,과자류·빵류 또는 떡류,50.0,434.0,188.0,25.45,47.3,6.0,24.0,647,가공식품
마라탕,찌개 및 전골류,486.5,77.0,391.5,1.09,5.41,4.28,4.21,2,음식
마름,견과 및 종실류,,183.0,5.0,1.6,40.6,5.8,0.5,1,원재료성식품
마시멜로,과자류·빵류 또는 떡류,145.0,343.0,40.0,57.0,80.0,3.4,0.0,402,가공식품
마요네즈,조미식품,300.0,620.0,630.0,2.0,4.0,1.0,67.0,150,가공식품
마카로니 샐러드,생채·무침류,170.0,138.0,125.0,2.75,13.76,2.4,7.98,4,음식
마카롱,빵 및 과자류,100.0,440.0,64.0,37.5,56.0,5.91,20.83,187,음식
마카롱/다쿠아즈,과자류·빵류 또는 떡류,90.0,435.0,60.0,38.84,52.0,6.34,22.22,1506,가공식품
마타리,채소류,,45.0,,,10.9,2.1,0.1,1,원재료성식품
마테차,음료 및 차류,,0.0,0.0,0.0,0.28,0.0,0.04,7,음식
마파두부,볶음류,100.0,139.0,359.0,2.01,7.67,8.2,8.14,6,음식
막걸리,주류,750.0,48.5,1.0,0.17,0.9,0.99,0.1,10,가공식품
막국수,면 및 만두류,632.4,83.0,363.0,1.74,15.71,3.4,0.71,3,음식
막창구이,구이류,100.0,358.0,162.0,1.36,0.4,15.34,32.73,1,음식
만가닥버섯,버섯류,,19.0,2.0,0.24,6.21,2.62,0.34,2,원재료성식품
만두,면 및 만두류,220.0,191.0,358.5,0.58,20.61,8.76,6.58,6,음식
만두국,면 및 만두류,600.0,66.0,190.0,0.34,7.5,3.5,2.34,9,음식
만두전골,찌개 및 전골류,935.5,66.0,319.0,1.14,8.45,3.14,2.15,2,음식
만두탕수,면 및 만두류,382.2,88.0,118.0,1.69,11.21,2.95,3.38,4,음식
만두피,즉석식품류,310.0,270.0,400.0,2.0,56.58,8.15,1.08,47,가공식품
만새기,어패류 및 기타 수산물,,88.5,50.0,0.0,0.0,17.3,1.5,2,원재료성식품
만쥬,과자류·빵류 또는 떡류,100.0,308.0,160.0,26.54,58.05,6.12,5.29,256,가공식품
말고기,육류,,102.0,50.0,,0.3,20.1,2.5,1,원재료성식품
맛살전,전·적 및 부침류,91.6,230.0,966.0,3.11,29.75,9.9,7.41,5,음식
맛조개,어패류 및 기타 수산물,,88.0,271.5,2.5,2.01,15.04,1.75,4,원재료성식품
망고,과일류,,59.0,0.0,12.64,14.27,0.63,0.62,2,원재료성식품
망고스틴,과일류,,71.0,1.0,,17.5,0.6,0.2,1,원재료성식품
망둑어류,어패류 및 기타 수산물,,90.0,,0.3,0.3,18.7,1.1,3,원재료성식품
망둥어찌개,찌개 및 전골류,298.8,44.0,483.0,1.08,3.4,5.9,0.85,1,음식
망둥어찜,찜류,175.5,52.0,202.0,0.68,2.96,8.5,0.7,1,음식
망상어류,어패류 및 기타 수산물,,111.0,,0.3,0.3,20.35,2.55,2,원재료성식품
매생이,해조류,,125.0,84.5,17.73,40.6,20.6,0.5,7,원재료성식품
매생이국,국 및 탕류,500.0,24.0,284.0,0.08,2.68,2.0,0.56,1,음식
매실,과일류,,38.0,2.0,2.76,7.9,1.02,0.73,4,원재료성식품
매실 절임,과일류,,122.5,3600.5,17.38,29.84,1.38,0.61,2,원재료성식품
